# Astra measured flight (RocketPy data/rockets/astra/flight_data.csv)
# time[s]  altitude_AGL[m]
0.00 0.36
0.00 0.42
0.00 47.42
1.00 202.23
2.00 501.42
3.00 786.00
4.00 1029.11
5.00 1290.78
6.00 1498.85
7.00 1714.14
8.00 1915.90
9.00 2077.20
10.00 2245.90
11.00 2381.50
12.00 2523.98
13.00 2650.45
14.00 2751.66
15.00 2854.70
16.00 2946.10
17.00 3008.46
18.00 3087.70
19.00 3141.45
20.00 3178.45
21.00 3210.78
22.00 3231.47
23.00 3246.39
24.00 3249.46
25.00 3244.75
26.00 3228.37
27.00 3204.81
28.00 3173.67
29.00 3135.84
30.00 3087.52
31.00 3032.63
32.00 2971.69
33.00 2907.08
34.00 2827.41
35.00 2746.26
36.00 2664.03
37.00 2569.95
38.00 2472.49
39.00 2387.13
40.00 2291.90
41.00 2200.93
42.00 2101.73
43.00 1988.07
44.00 1893.71
45.00 1780.79
46.00 1680.01
47.00 1565.96
48.00 1460.09
49.00 1343.59
50.00 1250.34
51.00 1148.23
52.00 1044.26
53.00 929.70
54.00 834.17
55.00 729.46
56.00 628.13
57.00 520.50
58.00 445.78
59.00 344.16
60.00 246.34
61.00 145.07
